,real,predict
1993-03-03,93.39999,
1993-03-04,93.22,
1993-03-05,94.3,
1993-03-08,94.01999,
1993-03-09,94.37,
1993-03-10,94.28999,
1993-03-11,94.36,
1993-03-12,94.5,
1993-03-15,94.55,
1993-03-16,94.3,
1993-03-17,94.22,
1993-03-18,93.17999,
1993-03-19,92.87999,
1993-03-22,92.94,
1993-03-23,92.73,
1993-03-24,93.28999,
1993-03-25,93.51999,
1993-03-26,92.92999,
1993-03-29,92.78,
1993-03-30,92.47,
1993-03-31,91.87,
1993-04-01,91.14999,
1993-04-02,91.37,
1993-04-05,91.2,
1993-04-06,91.72,
1993-04-07,91.97,
1993-04-08,91.25,
1993-04-09,91.22,
1993-04-12,90.67,
1993-04-13,89.97,
1993-04-14,90.50999,
1993-04-15,90.95,
1993-04-16,91.31,
1993-04-19,90.37,
1993-04-20,90.17999,
1993-04-21,90.33,
1993-04-22,89.84,
1993-04-23,89.37999,
1993-04-26,88.59999,
1993-04-27,89.59,
1993-04-28,89.26999,
1993-04-29,89.25,
1993-04-30,89.5,
1993-05-03,89.31999,
1993-05-04,89.0,
1993-05-05,89.11,
1993-05-06,88.76999,
1993-05-07,89.23,
1993-05-10,90.51999,
1993-05-11,90.50999,
1993-05-12,90.58,
1993-05-13,90.92999,
1993-05-14,90.14999,
1993-05-17,90.64,
1993-05-18,90.91,
1993-05-19,90.67,
1993-05-20,90.37999,
1993-05-21,90.7,
1993-05-24,91.03999,
1993-05-25,90.62999,
1993-05-26,90.48999,
1993-05-27,89.50999,
1993-05-28,88.95999,
1993-05-31,89.08,
1993-06-01,89.01999,
1993-06-02,89.39999,
1993-06-03,89.33,
1993-06-04,90.75,
1993-06-07,90.42,
1993-06-08,90.44,
1993-06-09,90.83,
1993-06-10,90.42999,
1993-06-11,90.44,
1993-06-14,90.34999,
1993-06-15,91.06999,
1993-06-16,91.73,
1993-06-17,91.78,
1993-06-18,92.92999,
1993-06-21,93.36,
1993-06-22,93.75,
1993-06-23,93.48,
1993-06-24,94.05,
1993-06-25,93.70999,
1993-06-28,93.31,
1993-06-29,92.87,
1993-06-30,93.61,
1993-07-01,93.17,
1993-07-02,93.48999,
1993-07-06,93.84999,
1993-07-07,93.84999,
1993-07-08,94.01999,
1993-07-09,95.00999,
1993-07-12,95.25999,
1993-07-13,94.59999,
1993-07-14,94.48,
1993-07-15,94.86,
1993-07-16,94.59999,
1993-07-19,94.22,
1993-07-20,94.01999,
1993-07-21,93.97,
1993-07-22,94.03,
1993-07-23,94.56999,
1993-07-26,94.75999,
1993-07-27,94.87999,
1993-07-28,94.44,
1993-07-29,95.53,
1993-07-30,95.37,
1993-08-02,94.62999,
1993-08-03,94.39999,
1993-08-04,94.37999,
1993-08-05,94.51999,
1993-08-06,94.14,
1993-08-09,94.37999,
1993-08-10,95.20999,
1993-08-11,95.23,
1993-08-12,95.26999,
1993-08-13,95.12999,
1993-08-16,93.94,
1993-08-17,93.98,
1993-08-18,93.37999,
1993-08-19,94.12,
1993-08-20,93.37999,
1993-08-23,93.76999,
1993-08-24,93.56,
1993-08-25,94.00999,
1993-08-26,93.3,
1993-08-27,93.3,
1993-08-30,93.62,
1993-08-31,93.95,
1993-09-01,93.50999,
1993-09-02,93.19,
1993-09-03,92.08,
1993-09-07,91.36,
1993-09-08,91.72,
1993-09-09,91.05,
1993-09-10,90.8,
1993-09-13,91.17999,
1993-09-14,91.20999,
1993-09-15,90.75,
1993-09-16,90.94,
1993-09-17,91.39999,
1993-09-20,91.39999,
1993-09-21,92.72,
1993-09-22,92.31999,
1993-09-23,92.81,
1993-09-24,92.64999,
1993-09-27,92.25,
1993-09-28,91.81999,
1993-09-29,91.89,
1993-09-30,92.81999,
1993-10-01,92.69,
1993-10-04,92.34999,
1993-10-05,92.42999,
1993-10-06,92.28,
1993-10-07,92.31,
1993-10-08,91.64999,
1993-10-11,91.70999,
1993-10-12,91.31999,
1993-10-13,91.78,
1993-10-14,92.39,
1993-10-15,92.52,
1993-10-18,93.36,
1993-10-19,93.42999,
1993-10-20,93.34,
1993-10-21,94.14,
1993-10-22,94.44,
1993-10-25,94.81,
1993-10-26,94.71001,
1993-10-27,94.84999,
1993-10-28,94.48,
1993-10-29,95.08,
1993-11-01,95.26999,
1993-11-02,95.44,
1993-11-03,95.00999,
1993-11-04,95.12999,
1993-11-05,94.87999,
1993-11-08,94.59999,
1993-11-09,95.14,
1993-11-10,94.89,
1993-11-11,94.98,
1993-11-12,94.5,
1993-11-15,94.95,
1993-11-16,95.25999,
1993-11-17,95.19,
1993-11-18,95.69,
1993-11-19,96.16,
1993-11-22,95.78,
1993-11-23,95.67999,
1993-11-24,95.59999,
1993-11-26,96.01999,
1993-11-29,95.95,
1993-11-30,96.20999,
1993-12-01,96.47,
1993-12-02,96.44,
1993-12-03,96.09,
1993-12-06,94.98,
1993-12-07,95.11,
1993-12-08,95.16,
1993-12-09,95.3,
1993-12-10,95.05,
1993-12-13,95.50999,
1993-12-14,95.81,
1993-12-15,95.98,
1993-12-16,95.67,
1993-12-17,95.73999,
1993-12-20,95.73,
1993-12-21,95.66,
1993-12-22,95.14,
1993-12-23,94.67999,
1993-12-27,95.23999,
1993-12-28,95.14,
1993-12-29,96.45,
1993-12-30,96.7,
1993-12-31,96.84,
1994-01-03,96.97,
1994-01-04,96.55,
1994-01-05,96.58,
1994-01-06,96.81999,
1994-01-07,96.08,
1994-01-10,96.42999,
1994-01-11,96.69,
1994-01-12,96.23,
1994-01-13,96.76999,
1994-01-14,96.67999,
1994-01-17,96.83,
1994-01-18,96.37999,
1994-01-19,96.47,
